crop,soil_type,temperature,humidity,rainfall,fertilizer,irrigation,yield
4,1,11.8,63.5,1380.4,266.3,1,1.951
3,0,36.8,85.7,2531.6,127.8,1,4.083
7,1,36.3,74.4,335.9,25.5,0,16.777
6,0,34.1,51.3,342.2,233.1,4,4.864
5,2,39.0,32.8,1528.6,3.4,1,41.261
3,4,33.8,72.7,788.8,120.1,0,4.242
3,0,37.8,40.7,2893.3,3.6,0,3.195
2,3,18.1,73.7,318.8,49.9,4,6.119
0,5,30.1,65.9,2713.4,13.6,0,4.813
3,4,16.0,57.5,1124.7,175.1,1,4.635
3,4,18.3,56.7,193.7,83.9,0,3.175
7,4,39.1,82.6,2854.4,217.7,4,27.518
6,0,12.6,86.4,1699.6,49.5,1,4.426
1,0,29.0,51.7,2912.8,252.6,2,6.02
4,0,11.2,34.4,139.6,22.6,1,1.083
4,5,27.8,78.8,2839.8,254.9,2,2.3
0,4,14.1,91.8,1857.9,68.6,0,5.603
3,1,26.6,79.1,1608.5,255.7,1,4.522
5,3,12.8,80.4,1810.9,144.0,4,77.533
5,1,16.8,34.5,142.2,105.2,2,33.425
1,1,12.9,75.8,1687.6,135.3,2,3.343
1,2,40.4,35.3,2787.1,147.6,0,3.697
3,3,41.4,59.5,1053.4,190.0,4,3.952
0,2,15.8,49.2,2700.7,142.2,3,4.777
4,1,16.2,27.9,589.9,83.6,4,1.207
1,5,14.1,48.1,1032.6,27.7,1,2.971
6,0,39.5,29.3,902.9,241.9,2,4.494
6,5,34.3,62.2,2189.5,18.7,1,3.529
2,2,38.6,60.8,1643.1,32.2,2,5.72
6,0,15.8,64.5,2538.1,26.8,4,3.9
5,3,38.5,66.6,2069.4,236.8,0,90.274
6,5,27.8,66.1,1736.9,113.6,1,4.426
4,5,30.7,65.0,1132.7,296.0,3,1.928
5,4,37.2,31.2,2437.0,16.7,3,42.406
0,2,10.6,73.8,2992.0,269.0,2,6.307
6,5,25.7,75.6,2480.5,215.5,0,5.433
2,1,36.8,39.4,2907.2,213.3,2,6.492
3,0,34.6,31.1,1567.7,279.6,1,4.827
4,2,11.7,48.6,489.8,19.0,2,1.108
4,0,13.7,58.1,1857.7,238.3,0,2.853
6,0,36.6,92.6,460.5,219.3,4,4.683
5,3,14.5,80.7,684.7,49.1,4,63.125
4,4,17.5,69.4,2732.8,94.9,4,2.103
7,5,30.0,62.8,1372.4,173.2,2,27.554
0,0,27.4,88.5,1910.3,35.1,1,5.946
7,1,35.4,68.4,1647.0,268.2,3,24.624
3,4,20.0,42.4,2257.4,10.1,0,3.548
2,1,13.3,62.6,1198.6,137.1,0,6.914
3,4,25.6,53.6,2338.5,3.7,4,3.456
1,2,21.1,37.7,2734.5,175.0,2,4.457
7,1,14.9,66.0,1567.1,183.4,2,24.279
3,4,32.6,35.7,1771.2,182.0,4,4.11
5,2,13.3,83.8,2741.0,36.8,4,49.988
3,5,20.6,46.8,759.4,182.4,0,4.029
6,0,20.7,81.2,113.4,100.0,4,3.581
2,5,24.9,58.7,2763.5,176.1,1,7.589
2,3,14.5,37.3,1545.3,125.7,2,7.062
6,2,10.4,71.4,616.3,288.3,1,5.139
0,3,27.1,37.9,968.8,93.0,3,4.759
7,2,30.0,51.4,2526.0,176.2,4,26.911
0,5,24.5,61.7,1378.2,120.2,2,5.2
0,4,21.9,44.0,1967.6,122.6,2,6.054
6,3,37.7,53.6,1700.0,76.2,1,4.382
7,5,35.6,37.5,1993.0,71.5,0,19.616
1,2,40.8,91.1,509.1,121.9,2,2.732
1,0,10.8,37.7,1790.8,126.4,4,4.077
1,0,20.9,43.2,1201.1,177.1,4,5.537
5,5,24.0,45.6,2850.5,229.1,0,78.902
7,0,28.1,94.0,1466.1,54.6,1,29.109
0,1,22.9,40.3,1970.7,126.5,4,4.387
1,1,15.5,44.1,153.3,274.3,4,3.106
5,1,23.0,59.8,2188.6,32.0,0,54.44
5,4,38.8,86.2,1832.5,180.2,2,65.042
4,0,22.9,79.0,1323.9,106.2,1,2.376
5,2,12.6,67.2,811.5,116.8,0,64.78
0,2,40.4,52.8,2866.9,40.5,2,3.684
7,0,11.0,43.4,1825.7,15.4,1,24.84
1,0,25.2,49.1,1119.5,123.8,1,5.333
4,2,24.7,30.3,325.5,0.7,1,1.059
2,2,14.4,91.5,1393.4,55.5,0,5.874
5,2,34.3,75.7,1948.0,294.2,4,86.811
2,1,40.2,27.8,2146.2,277.6,0,6.676
6,1,25.1,46.9,449.5,219.3,4,4.003
2,4,33.8,28.8,1419.9,156.7,1,7.32
6,0,27.9,58.7,2666.5,159.1,2,5.297
6,0,35.3,47.3,1915.1,265.8,3,5.037
1,3,10.8,85.9,161.7,262.4,1,3.837
2,2,11.7,31.2,209.0,143.9,3,3.671
7,3,34.6,54.2,1321.9,221.3,0,36.543
5,5,19.5,41.4,222.1,5.4,1,36.247
5,0,22.5,33.7,2873.6,239.4,0,99.784
6,5,38.9,94.2,2255.7,19.5,2,2.344
7,3,30.8,67.5,1586.8,69.2,4,27.39
0,1,36.4,81.1,1926.4,64.9,2,3.921
0,2,41.8,37.2,1249.1,227.5,3,4.134
7,2,17.2,62.6,1819.5,174.0,4,29.025
1,2,22.5,44.1,1482.4,13.3,0,3.643
2,2,23.1,51.1,853.3,217.0,1,9.024
1,1,17.0,72.8,320.8,255.4,4,3.099
4,2,28.3,71.3,1677.0,259.3,1,2.461
0,5,37.8,42.2,556.3,48.1,2,3.37
4,1,29.8,77.7,560.0,264.3,3,1.634
1,0,38.1,25.4,2477.8,68.6,2,3.471
3,1,29.7,93.7,1932.3,77.9,4,2.83
3,4,14.1,44.8,153.4,129.7,2,2.442
6,5,13.3,90.6,2094.9,20.4,4,3.111
2,0,12.2,65.8,1103.1,186.3,3,7.524
4,3,10.7,47.7,1517.1,231.1,4,2.255
1,1,18.8,94.8,1335.9,135.4,1,3.667
4,2,36.9,79.1,767.2,39.4,3,1.2
2,0,11.0,76.2,2737.6,257.2,3,7.692
1,3,16.8,27.2,1989.8,110.6,1,3.931
6,3,41.0,38.0,2619.0,233.0,2,4.615
3,2,14.2,27.3,2770.5,185.0,4,3.266
5,0,29.4,42.3,1719.4,67.7,0,78.239
4,4,35.5,46.7,1420.1,3.5,1,1.488
1,5,25.4,67.0,945.8,208.5,1,5.041
7,2,13.4,41.9,2961.3,42.7,2,19.372
7,5,32.5,64.2,128.3,97.9,3,12.853
4,5,36.4,50.0,1034.1,293.2,0,2.316
1,5,35.6,39.0,585.7,31.4,1,3.084
5,0,11.7,62.9,2156.3,261.3,0,103.074
1,3,20.9,82.0,332.3,268.4,3,4.351
1,2,15.2,55.7,2202.0,178.0,0,4.804
3,4,37.9,40.3,2930.0,101.1,0,3.621
6,2,27.8,75.3,762.5,298.9,3,4.946
0,2,12.6,53.2,739.6,125.5,2,5.172
0,5,33.3,77.0,1333.9,103.8,4,5.046
3,5,26.2,63.0,1590.6,176.4,3,3.358
3,1,35.4,70.9,2977.2,85.2,1,2.988
4,3,29.9,69.2,2226.0,39.5,2,1.862
6,1,21.9,60.9,1297.8,20.7,3,2.859
0,5,23.0,66.5,1780.3,198.8,3,5.54
0,0,18.3,71.0,1043.1,232.0,3,6.959
7,3,17.6,41.4,2662.8,132.6,4,28.226
3,5,23.8,42.4,1889.7,212.0,0,3.98
7,5,22.1,67.4,1134.5,160.1,3,24.002
7,3,27.3,27.4,2961.4,36.9,3,19.559
4,3,11.3,33.5,1411.4,280.2,1,2.3
5,3,22.7,58.6,2089.3,5.2,1,61.609
0,1,37.8,56.8,1595.2,146.7,4,4.707
7,5,14.6,90.8,2225.4,48.7,4,19.338
4,0,24.2,85.8,613.7,207.8,4,2.512
0,1,11.0,90.2,2099.6,203.0,0,5.664
2,5,31.3,65.4,1110.9,47.8,4,5.64
0,0,37.9,79.8,1744.3,221.5,0,8.101
3,1,34.5,89.8,1370.7,270.4,4,3.696
4,2,13.8,63.1,116.7,97.4,0,1.297
3,1,22.2,63.4,1829.8,163.7,4,3.622
2,2,34.3,60.0,1672.9,285.4,1,9.611
1,5,10.8,48.9,1202.6,119.6,3,3.035
6,2,32.9,61.5,2484.9,129.3,1,5.014
7,4,40.5,70.8,1202.2,59.1,3,17.086
5,4,18.2,44.9,991.1,240.9,3,73.951
2,1,33.0,53.0,2932.5,247.0,3,6.361
3,1,15.9,45.7,2400.9,55.6,4,2.704
7,3,25.5,81.4,1695.7,13.0,3,21.25
6,5,38.3,41.0,714.9,183.3,4,3.919
1,0,39.0,78.9,1714.2,76.7,4,4.222
3,3,35.9,78.7,534.1,127.2,1,3.671
4,0,37.8,58.1,1652.5,53.5,2,1.674
6,2,18.2,69.2,269.5,42.5,1,2.886
7,2,31.6,56.0,1392.8,217.4,4,31.126
5,1,12.5,31.0,2693.2,57.6,4,45.623
7,0,21.0,68.2,1383.0,249.6,2,38.193
7,4,31.8,41.2,1424.9,57.1,1,25.063
1,3,21.6,94.7,1394.4,100.1,1,4.328
4,4,32.1,39.1,1653.9,29.0,4,1.607
0,3,19.6,93.7,1477.2,114.8,0,6.337
5,4,30.0,31.2,2290.3,38.3,3,49.554
7,3,32.7,27.5,979.1,78.9,3,18.773
2,0,26.3,82.8,911.1,282.7,0,12.314
1,5,35.2,65.2,1743.1,117.3,2,3.246
5,1,22.2,86.5,2617.4,241.8,4,72.694
7,3,20.3,26.6,546.0,67.1,0,22.893
1,0,14.2,85.3,2776.0,146.1,1,5.063
5,5,20.2,91.7,2493.1,199.9,4,68.706
3,0,12.6,79.4,453.9,178.3,3,3.1
6,5,24.1,32.4,1958.4,64.8,3,3.119
2,2,35.0,57.2,268.7,298.5,4,7.444
4,0,15.5,30.2,2369.8,79.6,2,1.714
0,3,41.9,82.0,1884.1,91.9,3,4.022
3,3,37.1,75.7,2397.1,121.4,3,3.11
2,3,22.4,92.5,820.9,40.1,4,7.183
4,5,34.3,34.6,1652.4,64.6,4,1.381
2,0,30.7,60.0,871.5,44.8,3,6.726
5,3,20.4,76.6,1480.5,112.8,1,79.115
4,1,14.3,32.2,2010.2,282.8,4,1.636
1,3,18.9,90.1,833.9,234.4,4,5.466
7,2,29.6,29.7,1603.4,45.1,0,22.363
7,3,24.2,28.3,210.3,223.9,0,25.665
2,0,26.3,52.1,1439.6,297.5,4,12.126
3,2,15.9,37.2,385.3,198.1,2,2.848
5,3,19.5,78.8,1911.5,114.6,0,85.754
1,2,18.2,43.2,300.8,287.9,0,4.518
1,4,19.4,93.6,1845.5,174.7,3,3.924
6,3,14.1,48.7,2791.4,67.4,1,4.21
3,1,15.2,44.2,2792.1,202.8,0,3.443
2,5,30.7,45.0,2466.2,258.4,0,9.28
4,5,11.7,47.4,2284.2,80.8,3,1.161
3,4,15.3,34.2,2205.3,245.3,4,4.25
7,3,23.2,78.1,2255.9,183.6,4,32.908
5,2,13.0,65.4,2643.7,130.1,4,64.946
7,0,33.2,94.4,387.6,120.4,3,18.51
1,1,19.9,77.0,2463.8,184.5,2,3.883
0,3,10.2,78.3,202.4,223.7,3,4.471
5,0,34.3,72.5,2293.2,252.6,1,103.4
1,3,30.6,79.6,729.9,41.3,4,3.577
5,4,10.9,36.7,625.8,116.3,4,60.484
4,5,12.1,65.6,1728.3,168.2,2,1.683
5,1,29.3,26.6,1034.1,190.9,1,61.041
3,5,32.6,80.2,1600.1,132.1,1,3.45
3,5,23.9,31.2,739.8,179.5,0,3.724
0,5,25.9,37.5,2089.1,297.3,3,5.885
3,2,40.4,39.2,1740.1,293.9,0,4.152
5,5,32.3,90.1,2369.5,16.8,4,46.005
2,5,37.9,83.9,639.7,240.8,1,7.173
5,1,11.6,88.3,2737.2,234.1,3,44.833
3,5,15.1,67.7,492.5,225.4,0,3.892
5,3,19.0,43.3,816.2,271.9,1,100.035
7,1,37.0,43.8,553.5,255.9,1,24.85
2,0,27.0,53.8,1107.3,270.0,4,11.411
1,2,14.1,86.7,1241.0,248.4,3,3.991
4,1,18.2,70.8,674.5,169.6,4,1.931
2,2,40.3,92.7,630.7,6.6,0,4.566
0,5,26.7,33.0,2594.4,216.8,0,6.625
0,5,27.4,30.7,1429.1,145.4,0,5.536
1,2,34.0,45.3,2382.2,33.6,4,3.431
2,1,11.7,80.0,684.0,77.6,2,4.969
5,3,31.1,36.3,840.9,284.0,4,90.51
7,1,34.7,26.9,289.1,139.2,3,12.702
3,2,24.5,52.8,370.9,132.3,3,2.793
2,3,13.0,50.0,2296.7,82.9,1,7.716
6,5,15.1,73.7,2400.5,95.0,1,3.713
2,4,38.7,36.8,1570.4,179.4,2,6.932
7,3,20.0,80.9,2906.5,257.1,2,35.741
0,3,26.2,92.7,1311.5,295.2,2,8.212
3,3,23.7,36.4,136.6,167.9,1,3.278
0,3,36.3,39.7,1199.2,292.0,0,7.891
5,1,34.3,94.2,2713.8,195.5,2,55.361
0,4,36.2,86.6,1623.8,73.3,1,5.241
1,0,24.4,77.4,1988.3,186.3,2,5.843
5,0,35.8,84.1,836.5,9.3,4,58.409
2,3,31.0,94.4,310.7,23.1,0,5.451
2,3,26.4,46.4,716.7,10.0,1,7.298
5,3,17.4,81.5,271.4,269.7,3,59.195
2,0,10.0,36.8,1230.3,113.9,2,6.421
5,2,41.3,32.8,1325.4,12.6,2,34.808
7,5,40.9,33.9,2152.3,291.8,1,25.63
3,3,40.8,75.9,983.8,248.8,4,4.494
3,2,13.6,74.3,1668.0,29.0,3,2.142
2,4,17.2,76.1,1836.5,19.3,2,6.146
3,1,20.6,48.8,2968.2,187.9,0,4.113
7,5,28.6,94.7,2581.5,156.4,3,20.652
4,3,29.2,33.0,372.2,272.9,4,2.134
7,0,32.2,30.8,2741.0,139.3,4,28.523
6,0,38.6,56.0,1860.6,189.4,2,5.402
3,3,17.5,80.1,2915.2,78.8,3,3.323
7,1,33.8,60.4,1938.9,21.3,2,17.332
3,5,39.0,41.7,1462.0,135.1,1,2.882
4,0,16.3,67.8,914.0,62.1,2,1.911
5,0,37.0,44.9,1442.3,131.6,2,71.393
7,5,19.4,90.2,1251.3,26.1,1,19.099
2,2,10.9,72.3,230.1,135.2,0,5.382
6,5,22.6,54.5,1292.0,272.3,4,5.575
7,0,33.0,91.8,2192.0,258.9,4,37.385
5,5,36.5,27.8,2627.6,77.0,4,48.895
3,1,13.9,54.3,2278.4,21.3,4,2.588
1,2,40.1,71.8,2068.1,108.6,0,3.773
1,2,29.6,86.2,2199.5,36.2,0,3.701
1,4,27.1,34.9,133.9,126.6,2,2.827
4,1,13.9,64.1,1095.2,218.8,4,1.747
0,5,22.4,84.6,1271.3,23.3,3,3.997
5,3,35.5,82.6,2586.9,275.0,3,78.846
6,2,21.8,26.9,1239.6,157.7,1,3.919
6,3,38.5,49.2,547.9,7.6,4,3.277
3,1,10.2,52.0,2396.0,178.8,3,2.79
7,3,13.4,36.7,2918.9,68.5,0,25.029
7,2,40.8,51.9,213.1,9.3,2,11.072
1,5,14.7,59.1,477.1,250.6,2,3.935
4,1,20.0,87.2,1848.5,248.0,3,1.681
4,5,41.4,58.5,1643.5,50.5,3,1.125
4,2,21.4,82.9,2156.1,53.2,2,1.722
4,3,27.8,49.3,1783.4,41.8,2,1.812
2,4,25.6,53.1,2982.2,264.1,1,11.175
1,2,33.4,35.4,2572.4,213.3,4,4.618
5,2,39.1,75.6,1646.8,261.0,2,72.698
3,4,31.8,57.7,199.9,290.9,0,4.086
2,2,41.4,58.8,2604.3,176.6,1,6.546
0,5,26.4,59.5,1774.1,259.7,2,6.635
5,2,24.2,67.1,1815.1,242.0,1,90.325
7,3,24.1,84.3,2690.0,18.7,4,24.524
5,2,11.0,93.0,740.2,220.2,2,67.831
4,3,20.7,76.3,1632.9,238.0,1,2.816
2,2,31.7,83.0,954.4,4.3,1,6.007
0,4,34.1,78.8,2009.8,229.8,4,7.398
3,2,13.3,52.9,2197.1,84.1,1,3.333
5,3,40.3,30.1,2869.8,156.8,4,56.329
7,1,26.0,80.6,2150.6,15.1,0,20.424
6,3,19.0,81.2,2794.8,121.5,1,5.078
2,5,28.7,84.0,1692.0,65.8,4,6.578
6,0,28.7,68.7,308.1,204.8,1,5.09
5,1,17.5,46.2,940.9,169.0,3,51.732
6,5,14.3,69.1,257.6,224.6,1,3.971
6,0,26.4,28.3,900.9,212.1,0,5.647
2,0,14.2,64.5,2613.0,171.5,0,10.244
1,2,23.5,51.4,2815.3,202.5,4,5.014
0,1,32.8,71.6,2901.5,228.3,4,6.123
0,3,19.5,32.4,2367.3,193.2,0,7.156
7,3,25.2,32.8,1939.8,231.2,0,35.135
0,3,16.0,63.6,1305.8,215.9,0,8.452
5,5,35.5,77.8,204.2,118.4,0,46.293
7,3,33.6,93.2,251.4,204.7,1,26.757
4,3,21.8,29.1,423.4,154.8,2,1.58
3,4,10.5,51.5,1078.3,5.8,1,2.822
0,2,39.0,43.7,2202.1,263.3,0,6.337
1,3,31.7,46.8,2344.6,231.9,1,5.923
2,5,12.4,51.8,1166.4,54.5,4,5.5
6,4,34.7,61.3,1109.5,111.5,0,5.006
6,2,27.5,83.1,1857.8,87.3,0,4.438
4,5,19.7,29.6,761.9,74.0,2,1.473
6,3,28.6,94.3,793.6,159.2,1,5.198
3,1,40.8,30.3,1160.5,67.6,2,1.998
1,0,20.1,44.3,2946.8,158.2,1,5.402
3,3,18.3,49.2,2760.7,87.2,2,3.879
0,5,32.1,90.1,1542.2,69.1,1,4.729
7,5,40.7,62.1,801.5,150.2,0,23.402
5,5,27.5,37.6,1429.9,168.3,1,69.039
5,4,38.7,72.2,497.3,298.5,3,61.074
3,5,16.3,91.6,2985.0,213.5,0,4.004
1,5,17.0,57.1,2766.2,52.8,0,3.559
0,2,26.7,93.4,2296.2,48.5,2,4.79
7,5,17.9,69.8,2033.1,48.8,3,19.737
5,3,36.7,79.9,1193.3,165.6,0,84.409
6,2,17.1,47.5,2559.3,218.7,4,4.93
0,4,38.6,25.0,2714.0,46.1,2,3.608
6,2,41.8,28.1,2306.9,111.5,1,3.305
2,2,24.2,44.3,1903.9,297.7,0,10.13
4,3,21.5,71.0,797.2,57.5,4,1.877
0,4,40.6,35.4,2070.7,67.5,1,4.538
3,4,28.0,54.9,1046.4,251.9,2,4.904
6,1,23.4,79.6,1481.4,149.3,4,4.008
3,4,18.2,45.7,1822.0,9.8,4,2.909
1,2,24.7,31.7,2497.6,14.3,4,3.254
3,1,34.7,70.8,539.6,262.8,4,3.424
6,4,22.5,63.3,1642.9,177.1,4,5.617
3,5,33.1,39.0,690.4,3.0,4,2.616
5,3,19.9,76.2,1957.8,124.8,3,67.211
4,1,38.7,82.3,833.2,81.4,1,1.378
6,5,41.5,77.8,1240.3,177.2,3,3.021
0,2,32.7,36.7,2363.8,175.1,1,6.039
3,0,34.3,32.2,1590.2,152.7,2,3.6
3,0,24.4,36.1,622.6,29.5,0,3.57
1,4,18.8,81.5,666.2,103.6,0,4.736
5,3,15.0,33.3,2317.7,201.3,3,68.808
0,2,15.2,80.0,2229.9,115.3,1,5.1
2,2,14.0,80.8,1886.1,253.0,3,7.104
4,2,27.1,62.9,1345.8,92.7,0,1.936
7,5,40.8,75.0,2862.2,68.0,4,18.974
6,3,19.3,86.0,2050.8,239.0,3,5.073
6,5,37.2,93.7,1921.2,74.3,2,2.98
3,5,19.8,49.7,1901.7,100.2,4,3.257
0,3,12.2,79.9,928.7,129.8,4,5.783
1,5,41.4,79.9,2227.1,34.9,3,2.489
6,2,13.2,44.4,901.3,129.6,4,3.734
5,1,41.3,63.9,650.5,174.7,4,55.21
0,2,22.7,43.5,695.5,144.9,0,6.136
1,5,29.3,30.4,319.2,285.4,1,3.557
2,0,29.2,68.7,1980.7,80.2,3,7.374
0,5,26.8,42.5,105.9,52.2,0,3.105
2,1,15.0,91.1,2236.0,264.9,0,7.972
1,5,11.6,68.9,1218.3,280.9,0,4.761
0,3,40.6,52.9,2535.4,56.6,2,4.545
2,4,23.9,43.1,1359.8,217.0,0,10.006
1,2,29.6,69.6,801.9,214.2,3,4.302
6,0,10.5,30.4,2742.4,106.5,0,4.268
1,2,29.1,66.6,1179.4,99.9,1,4.265
3,2,35.2,52.8,1589.5,76.0,4,3.304
2,5,34.7,54.9,698.0,239.9,2,8.021
0,5,31.3,80.1,1417.6,189.1,4,5.944
2,2,36.7,60.0,1651.6,43.3,3,4.862
6,5,29.2,39.1,1811.7,122.3,2,4.023
2,5,16.7,44.7,2167.6,3.4,3,4.543
4,4,35.2,91.0,2265.7,216.2,4,2.143
6,3,13.5,45.2,998.4,75.0,2,4.51
4,4,36.5,80.3,992.6,274.1,1,2.614
7,4,30.2,51.1,887.3,69.5,3,22.775
5,2,26.1,38.6,2590.6,203.1,4,73.695
0,3,23.3,25.9,958.2,137.8,2,5.918
3,4,33.7,85.4,1642.5,236.8,0,4.839
5,5,21.0,54.0,2224.0,264.5,0,89.764
2,3,26.6,67.5,811.5,17.3,1,7.195
5,2,28.3,94.0,1302.7,226.2,3,64.522
7,1,16.5,47.9,1685.4,172.6,0,27.04
4,4,25.9,90.3,1373.4,294.1,0,2.757
1,0,16.5,60.5,1315.9,5.4,2,3.798
0,2,31.5,53.6,2668.3,66.6,0,5.692
5,3,27.1,83.5,2482.0,253.0,0,105.697
2,3,19.1,62.2,1580.6,246.2,2,10.06
2,4,35.7,88.1,690.1,20.1,0,5.631
5,5,15.8,77.0,2559.0,163.7,3,56.344
4,4,41.9,64.1,1031.4,66.0,3,1.326
5,5,32.6,51.2,1171.5,13.6,2,50.123
5,2,31.2,58.9,115.4,241.3,1,58.203
4,0,34.5,65.9,2367.7,225.5,3,2.24
0,2,16.6,74.9,1221.2,198.7,4,6.73
6,3,15.1,43.1,1855.7,129.9,4,4.79
4,5,19.8,54.0,2167.1,115.9,1,1.88
7,2,17.7,40.0,1332.1,272.4,0,31.856
0,1,14.3,56.1,1407.3,287.5,1,6.59
0,5,18.4,90.7,1945.5,97.4,0,5.029
1,5,31.0,82.7,283.1,233.0,4,3.506
6,3,34.8,77.3,536.8,65.2,3,3.099
4,4,36.4,69.1,2588.5,235.1,2,2.256
0,5,26.5,76.5,1365.6,200.0,2,6.2
0,5,12.2,31.6,2996.8,98.0,4,4.031
6,2,37.5,94.8,800.3,12.1,4,2.719
3,2,37.2,53.4,139.7,24.1,2,1.792
4,2,32.6,46.6,484.7,153.5,1,1.638
2,0,41.7,78.0,1382.7,212.2,3,6.645
2,0,28.2,85.8,1199.5,111.4,3,7.651
4,2,41.4,70.5,2432.8,214.5,4,1.928
0,5,40.4,83.3,1151.1,259.1,2,5.286
2,0,12.2,63.8,2268.6,243.1,0,10.738
0,3,31.4,83.6,592.2,5.7,1,5.158
2,3,40.7,62.5,1516.6,120.6,3,6.463
4,1,36.7,70.0,327.8,222.2,4,1.503
3,4,12.7,67.5,2654.8,264.9,1,4.79
5,2,41.2,72.8,1188.8,240.0,4,67.222
0,0,12.0,48.5,294.3,292.6,4,6.135
0,0,40.0,31.0,1218.2,21.3,1,4.249
3,1,12.4,55.7,1636.7,295.6,1,3.981
0,3,20.4,46.0,774.3,38.9,2,5.18
4,4,16.7,81.6,526.1,102.8,3,1.395
6,5,36.5,74.5,1889.9,46.8,1,3.73
7,5,10.1,37.2,2638.7,132.5,2,19.015
6,1,32.9,44.7,1155.0,57.2,0,3.641
3,0,20.0,62.7,2536.3,296.8,1,5.939
0,3,16.2,59.3,2250.8,147.8,1,7.388
6,0,35.6,33.6,2125.7,124.8,2,4.31
7,5,38.5,82.2,1579.4,220.9,4,26.533
5,3,27.7,51.1,2018.8,42.4,3,57.968
5,3,18.9,40.3,630.2,247.7,4,89.528
7,5,35.1,42.7,2822.8,268.2,0,30.393
3,0,37.0,80.7,607.9,201.8,2,4.143
1,3,10.0,85.9,2398.5,188.2,3,3.67
4,0,24.7,49.6,372.0,145.8,3,1.617
1,2,25.0,57.6,2305.7,46.3,4,3.645
1,5,26.4,74.3,2812.0,112.7,1,4.149
2,4,11.5,70.3,757.5,201.0,4,8.842
3,1,26.0,28.5,201.2,165.3,3,2.059
0,3,34.1,40.1,1074.4,139.7,2,5.936
4,5,29.5,44.7,603.1,113.9,0,1.741
2,2,16.7,64.0,2583.8,250.5,0,10.009
7,5,20.2,77.5,1350.2,26.3,1,20.816
7,0,40.8,71.8,2806.3,79.6,4,23.096
0,5,16.2,45.7,1896.9,179.9,2,4.957
0,2,40.8,25.7,2176.5,211.9,3,3.905
6,3,20.0,48.8,328.9,132.8,2,3.822
7,0,15.9,51.1,2793.0,18.5,3,19.596
0,3,24.3,60.1,815.3,141.3,4,7.457
7,1,38.9,82.2,2295.4,16.7,2,16.441
6,2,37.7,42.5,2179.6,256.8,3,4.202
